step_size,solution,objective_value,iterations,converged,gradient_norm,termination_reason
0.01,0.999957,-0.500000,1000,False,4.32e-05,max_iterations
0.1,1.000000,-0.500000,175,True,9.83e-09,converged
0.5,1.000000,-0.500000,27,True,7.45e-09,converged
1.0,1.000000,-0.500000,1,True,0.00e+00,converged
1.5,1.000000,-0.500000,27,True,7.45e-09,converged
2.5,-18027808360396904929014313133756094602021490593623455934143098782085898358268968910321926429082931340564236187769460640748166785144621899661251320903368704.000000,162500937139598269661779749391931612290431672893591152510335296183621559147095059174363943753278426469403184325060604037672721111493697147195103358138591980698705733738747223639633375614563987655337958785982898164996799665358767974385539800466556596391365426397418791309924510722911320257856182821332197572608.000000,876,False,1.80e+154,non_finite
